,step,inc,att,discon_iters,equil_iters,total_iters,total_time,step_time,inc_time
0,1,1,1,0,2,2.0,0.05,0.05,0.05
1,1,2,1,0,1,1.0,0.1,0.1,0.05
2,1,3,1,0,1,1.0,0.15,0.15,0.05
3,1,4,1,0,1,1.0,0.2,0.2,0.05
4,1,5,1,0,1,1.0,0.25,0.25,0.05
5,1,6,1,0,1,1.0,0.3,0.3,0.05
6,1,7,1,0,1,1.0,0.35,0.35,0.05
7,1,8,1,0,1,1.0,0.4,0.4,0.05
8,1,9,1,0,1,1.0,0.45,0.45,0.05
9,1,10,1,0,1,1.0,0.5,0.5,0.05
10,1,11,1,0,1,1.0,0.55,0.55,0.05
11,1,12,1,0,1,1.0,0.6,0.6,0.05
12,1,13,1,0,1,1.0,0.65,0.65,0.05
13,1,14,1,0,1,1.0,0.7,0.7,0.05
14,1,15,1,0,1,1.0,0.75,0.75,0.05
15,1,16,1,0,1,1.0,0.8,0.8,0.05
16,1,17,1,0,1,1.0,0.85,0.85,0.05
17,1,18,1,0,1,1.0,0.9,0.9,0.05
18,1,19,1,0,1,1.0,0.95,0.95,0.05
19,1,20,1,0,1,1.0,1.0,1.0,0.05
